task_id,epoch,step,train_loss,train_accuracy
0,1,2,0.551721,0.868535
0,2,4,0.153657,0.996605
0,3,6,0.043683,0.997079
0,4,8,0.024206,0.997236
0,5,10,0.017339,0.997631
1,1,17,0.602675,0.843411
1,2,19,0.300109,0.946563
1,3,21,0.158511,0.956324
1,4,23,0.123749,0.961866
1,5,25,0.109254,0.965258
2,1,33,0.488563,0.802628
2,2,35,0.240191,0.914055
2,3,37,0.142476,0.953742
2,4,39,0.100121,0.968392
2,5,41,0.078143,0.975229
3,1,49,0.429035,0.916687
3,2,51,0.097561,0.993680
3,3,53,0.042449,0.995732
3,4,55,0.027680,0.996717
3,5,57,0.021105,0.997045
4,1,65,0.345412,0.925508
4,2,67,0.165114,0.951610
4,3,69,0.125716,0.960678
4,4,71,0.106725,0.965085
4,5,73,0.094635,0.968051
